trigram,repetation,polarity,sentiment
take necessary precautions,1,0.0,neutral
necessary precautions stay,1,0.0,neutral
precautions stay safe,1,0.5,positive
thanks contribution n,1,0.2,positive
contribution n n,1,0.0,neutral
n n cryptoforsocialgood,1,0.0,neutral
n cryptoforsocialgood covid,1,0.0,neutral
latest push ongoing,1,0.5,positive
push ongoing vaccination,1,0.0,neutral
ongoing vaccination campaign,1,0.0,neutral
vaccination campaign italy,1,0.0,neutral
campaign italy made,1,0.0,neutral
italy made covid,1,0.0,neutral
made covid green,1,-0.2,negative
covid green pass,1,-0.2,negative
green pass mandatory,1,-0.2,negative
pass mandatory pe,1,0.0,neutral
pi bulletin covid,1,0.0,neutral
bulletin covid n,1,0.0,neutral
hours n nactive,1,0.0,neutral
nactive cases account,1,0.0,neutral
cases account total,1,0.0,neutral
account total cases,1,0.0,neutral
total cases n,1,0.0,neutral
cases n ni,1,0.0,neutral
happy birthday pmoindia,1,0.8,positive
birthday pmoindia narendramodi,1,0.0,neutral
pmoindia narendramodi wish,1,0.0,neutral
narendramodi wish succes,1,0.0,neutral
wish succes largest,1,0.0,neutral
succes largest covidvaccination,1,0.0,neutral
largest covidvaccination drive,1,0.0,neutral
covidvaccination drive covid,1,0.0,neutral
breaking india sets,1,0.0,neutral
sets new single,1,0.032467532467532464,positive
single day record,1,-0.07142857142857142,negative
day record administering,1,0.0,neutral
record administering crores,1,0.0,neutral
administering crores covid,1,0.0,neutral
crores covid vaccine,1,0.0,neutral
vaccine doses n,1,0.0,neutral
doses n n,1,0.0,neutral
n n cowin,1,0.0,neutral
n cowin indians,1,0.0,neutral
set new covid,1,0.13636363636363635,positive
new covid vaccination,1,0.13636363636363635,positive
vaccination record today,1,0.0,neutral
record today cr,1,0.0,neutral
today cr doses,1,0.0,neutral
cr doses already,1,0.0,neutral
doses already administered,1,0.0,neutral
already administered authorities,1,0.0,neutral
administered authorities ai,1,0.0,neutral
gentle reminder n,1,0.2,positive
reminder n nyesterday,1,0.0,neutral
n nyesterday posted,1,0.0,neutral
nyesterday posted mask,1,0.0,neutral
posted mask nread,1,0.0,neutral
mask nread carefully,1,-0.1,negative
nread carefully n,1,-0.1,negative
carefully n nstay,1,-0.1,negative
n nstay tuned,1,0.0,neutral
nstay tuned new,1,0.13636363636363635,positive
tuned new coin,1,0.13636363636363635,positive
happy words sister,1,0.8,positive
words sister loved,1,0.7,positive
sister loved one,1,0.7,positive
loved one engagement,1,0.7,positive
one engagement function,1,0.0,neutral
engagement function n,1,0.0,neutral
function n engagement,1,0.0,neutral
n engagement familyfunction,1,0.0,neutral
engagement familyfunction familytime,1,0.0,neutral
pandemic e cerbated,1,0.0,neutral
e cerbated income,1,0.0,neutral
cerbated income digital,1,0.0,neutral
income digital divide,1,0.0,neutral
digital divide brazil,1,0.0,neutral
divide brazil particularly,1,0.16666666666666666,positive
brazil particularly amongst,1,0.16666666666666666,positive
particularly amongst children,1,0.16666666666666666,positive
amongst children youth,1,0.0,neutral
know actually change,1,0.0,neutral
actually change psyche,1,0.0,neutral
change psyche looks,1,0.0,neutral
psyche looks nso,1,0.0,neutral
looks nso many,1,0.5,positive
nso many ppl,1,0.5,positive
many ppl closely,1,0.5,positive
ppl closely monitering,1,0.0,neutral
closely monitering looking,1,0.0,neutral
monitering looking covid,1,0.0,neutral
looking covid vacc,1,0.0,neutral
india registers new,1,0.13636363636363635,positive
registers new covid,1,0.13636363636363635,positive
whooping think ego,1,0.0,neutral
think ego issue,1,0.0,neutral
ego issue overwhelming,1,0.5,positive
issue overwhelming conclusively,1,0.5,positive
overwhelming conclusively think,1,0.5,positive
conclusively think nothing,1,0.0,neutral
think nothing cinema,1,0.0,neutral
nothing cinema bei,1,0.0,neutral
organic cotton natural,1,0.1,positive
cotton natural dye,1,0.1,positive
natural dye masks,1,0.1,positive
dye masks n,1,0.0,neutral
masks n ndyed,1,0.0,neutral
n ndyed natural,1,0.1,positive
ndyed natural f,1,0.1,positive
natural f c,1,0.1,positive
c f herbs,1,0.0,neutral
f herbs n,1,0.0,neutral
herbs n nhandmade,1,0.0,neutral
n nhandmade women,1,0.0,neutral
nhandmade women n,1,0.0,neutral
women n ndm,1,0.0,neutral
n ndm product,1,0.0,neutral
ndm product related,1,0.0,neutral
product related query,1,0.0,neutral
thanks f f,1,0.2,positive
f f dedicated,1,0.0,neutral
f dedicated warriors,1,0.0,neutral
dedicated warriors giving,1,0.0,neutral
warriors giving us,1,0.0,neutral
giving us proud,1,0.8,positive
us proud moment,1,0.8,positive
proud moment cr,1,0.8,positive
moment cr vaccination,1,0.0,neutral
cr vaccination world,1,0.0,neutral
vaccination world records,1,0.0,neutral
world records sing,1,0.0,neutral
side effect mountains,1,0.0,neutral
effect mountains travel,1,0.0,neutral
mountains travel long,1,-0.05,negative
travel long got,1,-0.05,negative
long got panic,1,-0.05,negative
got panic seeing,1,0.0,neutral
panic seeing many,1,0.5,positive
seeing many people,1,0.5,positive
many people around,1,0.5,positive
people around n,1,0.0,neutral
around n nand,1,0.0,neutral
n nand people,1,0.0,neutral
nand people beha,1,0.0,neutral
months oil rich,1,0.375,positive
oil rich abudhabi,1,0.375,positive
rich abudhabi restricted,1,0.375,positive
abudhabi restricted travel,1,0.0,neutral
restricted travel even,1,0.0,neutral
travel even neighbouring,1,0.0,neutral
even neighbouring dubai,1,0.0,neutral
neighbouring dubai rapidly,1,0.0,neutral
dubai rapidly opened,1,0.0,neutral
rapidly opened touris,1,0.0,neutral
mumbai bmc conducted,1,0.0,neutral
bmc conducted serosurvey,1,0.0,neutral
conducted serosurvey according,1,0.0,neutral
serosurvey according population,1,0.0,neutral
according population developed,1,0.1,positive
population developed immunity,1,0.1,positive
developed immunity covid,1,0.1,positive
along worldslargestvaccinationdrive india,1,0.0,neutral
worldslargestvaccinationdrive india proud,1,0.8,positive
india proud title,1,0.8,positive
proud title holder,1,0.8,positive
title holder country,1,0.0,neutral
check latest covid,1,0.5,positive
latest covid data,1,0.5,positive
covid data see,1,0.0,neutral
data see coronavirus,1,0.0,neutral
see coronavirus continues,1,0.0,neutral
coronavirus continues impact,1,0.0,neutral
continues impact indian,1,0.0,neutral
